# NumBokehs Reset BlurDepth Detection Blur Synchronization Rendering

2560 0.002 0.402 0.935 5.401 0.005 0.935
4470 0.002 0.403 0.917 5.381 0.005 1.495
4977 0.002 0.402 0.902 5.389 0.005 1.84
5350 0.002 0.402 0.922 5.451 0.005 2.151
5457 0.002 0.403 0.94 5.412 0.005 2.317
5949 0.002 0.402 0.934 5.421 0.005 2.634
6257 0.002 0.402 0.896 5.348 0.005 2.887
6965 0.002 0.402 0.928 5.417 0.005 2.695
7388 0.002 0.402 0.962 5.406 0.005 3.151
7538 0.002 0.403 0.941 5.388 0.005 3.236
7671 0.002 0.402 0.946 5.442 0.005 3.228
8079 0.002 0.402 0.899 5.393 0.005 3.32
10190 0.002 0.403 0.905 5.357 0.005 4.401


